query,answer,LLM_answer
退学的研究生应当在学校批准或退学处理决定书送达之日起多久内办结离校手续？,2周。,2周
哪些情况下，学校可按程序予以退学处理？,"研究生有下列情形之一，学校可按程序予以退学处理。
（一）经考核不宜继续攻读硕士学位或博士学位的；（二）超过学校规定的最长学习年限未完成学业的；（三）休学、保留学籍期满，在期满前未提出复学申请或者申请复学经复查不合格的；休学、保留学籍累计时间已达到 2 年，未提出复学申请或者申请复学经复查不合格的；（四）根据学校指定医院诊断，患有疾病或者意外伤残不能继续在校学习的；（五）未经批准连续 2 周未参加学校规定的教学活动的；（六）超过学校规定期限未注册而又未履行暂缓注册手续的。","根据提供的信息，研究生有以下情况之一时，学校可按程序予以退学处理：
1. 经考核不宜继续攻读硕士学位或博士学位的。
2. 超过学校规定的最长学习年限未完成学业的。
3. 休学、保留学籍期满，在期满前未提出复学申请或者申请复学经复查不合格的。
4. 休学、保留学籍累计时间已达到2年，未提出复学申请或者申请复学经复查不合格的。
5. 根据学校指定医院诊断，患有疾病或者意外伤残不能继续在校学习的。
6. 未经批准连续2周未参加学校规定的教学活动的。
7. 超过学校规定期限未注册而又未履行暂缓注册手续的。"
研究生完成培养计划规定内容但毕业论文答辩未通过怎么办？,研究生在最长学习年限内，修完培养计划规定内容，但毕业论文答辩未通过，学校准予结业，发给结业证书。 研究生可以分阶段完成学业，在最长学习年限内，可以先结业再毕业，或先毕业再申请学位。研究生结业后可以重修或者补做毕业设计、论文、答辩，符合相应条件后，学校颁发毕业证书、学位证书，合格后颁发的毕业证书、学位证书，毕业时间、获得学位时间按发证日期填写。,"根据提供的信息，研究生在完成培养计划规定内容后，如果毕业论文答辩未通过，学校会准予他们结业，并发给结业证书。这意味着即使毕业论文未通过，研究生仍然可以毕业并获得结业证书，前提是他们已经完成了所有的学习要求。

因此，如果一个研究生的毕业论文答辩未通过，他们应该首先与指导教师或学院的教务部门进行沟通，了解具体的补救措施和后续步骤。可能的解决方案包括：

1. 请求延期答辩：如果论文存在严重问题，学生可以申请延期答辩，以便有时间修改论文并提高其质量。
2. 寻求辅导或重写论文：学生可能需要额外的辅导来改进他们的论文，或者重新写作以确保符合学术标准。
3. 参加补考或重修课程：如果论文未通过是因为考试不及格，学生可以参加补考以获得更好的成绩，或者选择重修相关的课程。
4. 考虑其他学位路径：如果上述方法都不可行，学生可以考虑是否继续追求该学位，或者寻找其他教育机构或专业领域的机会。

总之，虽然毕业论文答辩未通过可能会给研究生带来挑战，但只要他们遵循了培养计划的要求并努力改进，他们仍然有机会完成学业并获得相应的证书。"
研究生申请提前毕业的条件是什么？,研究生（硕博连读生自博士入学之日起计算）在校学习时间满 2 年，直博生在校学习时间满 4 年，提前完成培养计划规定内容，获得毕业所要求的学分，达到提前答辩申请学位要求的，经学院批准，研究生院审核，可以申请提前毕业。,"研究生申请提前毕业的条件包括：
1. 在校学习时间满2年；
2. 直博生在校学习时间满4年；
3. 提前完成培养计划规定内容，获得毕业所要求的学分；
4. 达到提前答辩申请学位的要求。"
研究生在校学习超过基本学习年限但未达到最长年限的会有哪些影响？ ,不额外缴纳学费，但不参与学业奖评选，不享受基本助学金及助研助教岗位酬金待遇，其他奖助学金以评选要求为准。,根据提供的信息，研究生在校学习时间超过基本学习年限但未达到最长学习年限时，他们不会额外缴纳学费，也不会参与学业奖评选，不享受基本助学金及助研助教岗位酬金待遇。其他奖助学金的评选要求将按照相关规定执行。
研究生能否在校期间更改个人身份信息？ ,在有合理、充分的理由，并提供有法定效力的相应证明文件情况下，经学校审核确认，上报所在地省级教育行政部门审核确认后，方予更改，学信网保留更改前的信息。,"根据提供的信息，研究生在在校期间是可以更改个人身份信息的。但是，需要满足以下条件：

1. 修改或变更姓名、出生日期等身份信息时，应当有合理、充分的理由。
2. 需要提供有法定效力的相应证明文件。
3. 经学校审核确认后，还需要上报所在地省级教育行政部门审核确认。
4. 只有在学信网保留更改前的信息后，方予更改。

因此，研究生可以在满足上述条件的情况下，在校期间更改个人身份信息。"
研究生申请复学的流程是什么？,研究生申请复学，应在休学期满前提交《研究生复学、恢复学籍申请表》，附事由证明材料，经导师、培养单位分管领导书面同意，报研究生院审批，方可办理复学手续。因病休学者申请复学，应提交学校指定医院诊断证明。,"研究生申请复学的流程是：
- 在休学期满前提交《研究生复学、恢复学籍申请表》以及附事由证明材料。
- 经过导师和培养单位的分管领导书面同意。
- 报研究生院审批。
- 因病休学者需提交学校指定医院的诊断证明。"
严重违反考核纪律或者作弊的研究生如何处理？ ,该课程考核成绩记为无效，并视其违纪或者作弊情节，按学校有关规定，予以纪律处分。,根据提供的信息，严重违反考核纪律或者作弊的研究生，其课程考核成绩会被记为无效。此外，根据违纪或作弊情节，学校会按照相关规章制度给予纪律处分。
对违反国家招生规定取得入学资格或学籍的研究生如何处理？ ,学校取消其学籍，不发学历、学位证书，已发的学历证书、学位证书，学校依法予以撤销。,"根据提供的信息，如果研究生违反了国家招生规定取得入学资格或学籍，学校将采取以下措施：

1. 取消其学籍：学校会取消该研究生的学籍。
2. 不发给学历证书、学位证书：由于学籍已被取消，因此不会发放学历证书和学位证书。
3. 撤销已发的学历证书、学位证书：如果该研究生之前已经取得了学历证书和学位证书，那么学校将依法将其撤销。
4. 注销注册信息：对于已经注册的学历证书和学位证书，学校将予以注销。
5. 报告给教育行政部门：学校需要向上级教育行政部门报告这一情况，并宣布学历证书和学位证书无效。

综上所述，对违反国家招生规定取得入学资格或学籍的研究生，学校会采取一系列措施来处理这一问题，包括取消学籍、不发放学历证书和学位证书、撤销已发的学历证书和学位证书、注销注册信息以及向教育行政部门报告并宣布学历证书和学位证书无效。"
学历证书和学位证书遗失或者损坏应该如何处理？ ,学历证书和学位证书遗失或者损坏，经本人申请，学校核实后出具相应的证明书。证明书与原证书具有同等效力。,"根据提供的信息，当学历证书和学位证书遗失或者损坏时，应该按照以下步骤进行处理：

1. **申请补办**：首先，个人需要向学校提出申请，说明情况并请求补办。
2. **核实情况**：学校在接到申请后会进行核实，确认证书确实遗失或损坏。
3. **出具证明书**：一旦经过核实，学校将出具相应的证明书。
4. **证明效力**：证明书与原证书具有同等效力。

简而言之，如果遇到学历证书和学位证书遗失或损坏的情况，应先向学校正式提出补办申请，随后由学校依据相关规定出具证明书，以替代原证书的法律效力。"
